Matricule;Nom;Prenom;Adresse;Ville;CodePostal;Tel1;Tel2;Tel3
10000;ALLARD;KEVIN;11263 PLOUFFE;MONTREAL;H3B6F2;514-489-4012;514-894-5012;514-894-6012
10100;ARSENAULT;MATHIEU;4360 CHARBONNEAU;MONTREAL;H7Y2S4;514-489-4001;514-894-5001;514-894-6001
10200;AUDET;JONATHAN;4356 LACHANCE;LONGUEUIL;J9H2N7;514-489-4023;514-894-5023;514-894-6023
10300;BERNARD;ANNIE;4546 GIROUARD;MONTREAL;H1U7F7;514-489-4035;514-894-5035;514-894-6035
10400;BERTHIAUME;MICHELLE;4428 GAUTHIER;MONTREAL;H9G2G5;514-489-4049;514-894-5049;514-894-6049
10500;BERTRAND;MICHEL;1223 PAINSON;ST-LAURENT;H4G0N3;514-489-4045;514-894-5045;514-894-6045
10600;BOIVIN;CYNTHIA;1258 QUESNEL;VERDUN;H8U4F6;514-489-4017;514-894-5017;514-894-6017
10700;BOUTIN;CYNTHIA;1258 QUESNEL;VERDUN;H8U4F6;514-489-4057;514-894-5057;514-894-6057
10800;BRETON;DANIEL;1424 PIOGER;MONTREAL;H6B4E2;514-489-4061;514-894-5061;514-894-6061
10900;CARRIER;ERIC;2345 ST-MARTIN;BOUCHEVILLE;J7S3D3;514-489-4034;514-894-5034;514-894-6034
11000;CHARBONNEAU;FRANCOIS;122 RATELLE;LONGUEUIL;J2S3D2;514-489-4018;514-894-5018;514-894-6018
11100;CHARRON;France;4546 GIROUARD;MONTREAL;H1U7F7;514-489-4075;514-894-5075;514-894-6075
20000;COMEAU;DAVID;10265 FERRON;MONTREAL;H5J8G4;514-489-4068;514-894-5068;514-894-6068
20100;DESROSIERS;JEAN;2345 ST-MARTIN;BOUCHEVILLE;J1S2C3;514-489-4036;514-894-5036;514-894-6036
20200;DIONNE;PASCAL;3327 MERZIUS;MONTREAL;H6R6L2;514-489-4039;514-894-5039;514-894-6039
20300;DROUIN;KEVIN;11263 PLOUFFE;MONTREAL;H3B6F2;514-489-4052;514-894-5052;514-894-6052
20400;DUMONT;GUILLAUME;4901 MCNEIL;MONTREAL;H9F2N5;514-489-4060;514-894-5060;514-894-6060
20500;DUPUIS;TRISTAN;4902 ROLDAN;MONTREAL;H2D3J6;514-489-4002;514-894-5002;514-894-6002
20600;FILLION;TRISTAN;4902 ROLDAN;MONTREAL;H2D3J6;514-489-4042;514-894-5042;514-894-6042
20700;FONTAINE;DAVID;10265 FERRON;MONTREAL;H5J8G4;514-489-4028;514-894-5028;514-894-6028
20800;GAUDREAULT;DANIEL;3328 TEYMOURIAN;LAVAL;J6D2R7;514-489-4003;514-894-5003;514-894-6003
